"Title","ave_ratings","ratings_per_movie","MovieID","genre"
"Godfather, The (1972)",4.52496626180837,2223,858,"Action"
"Raiders of the Lost Ark (1981)",4.47772474144789,2514,1198,"Action"
"Star Wars: Episode IV - A New Hope (1977)",4.45369441658308,2991,260,"Action"
"Godfather: Part II, The (1974)",4.35756501182033,1692,1221,"Action"
"Saving Private Ryan (1998)",4.33735393893705,2653,2028,"Action"
"Matrix, The (1999)",4.31583011583012,2590,2571,"Action"
"Princess Bride, The (1987)",4.3037100949094,2318,1197,"Action"
"Boat, The (Das Boot) (1981)",4.3026973026973,1001,1233,"Action"
"Star Wars: Episode V - The Empire Strikes Back (1980)",4.29297658862876,2990,1196,"Action"
"African Queen, The (1951)",4.25165562913907,1057,969,"Action"
"Raiders of the Lost Ark (1981)",4.47772474144789,2514,1198,"Adventure"
"Star Wars: Episode IV - A New Hope (1977)",4.45369441658308,2991,260,"Adventure"
"Lawrence of Arabia (1962)",4.40192539109507,831,1204,"Adventure"
"Princess Bride, The (1987)",4.3037100949094,2318,1197,"Adventure"
"Star Wars: Episode V - The Empire Strikes Back (1980)",4.29297658862876,2990,1196,"Adventure"
"African Queen, The (1951)",4.25165562913907,1057,969,"Adventure"
"Wizard of Oz, The (1939)",4.24796274738067,1718,919,"Adventure"
"Indiana Jones and the Last Crusade (1989)",4.13329238329238,1628,1291,"Adventure"
"Stand by Me (1986)",4.096918767507,1785,1259,"Adventure"
"Star Wars: Episode VI - Return of the Jedi (1983)",4.02289281997919,2883,1210,"Adventure"
"Wrong Trousers, The (1993)",4.50793650793651,882,1148,"Animation"
"Toy Story 2 (1999)",4.21892744479495,1585,3114,"Animation"
"Toy Story (1995)",4.14684641309581,2077,1,"Animation"
"Fantasia (1940)",3.90455991516437,943,1282,"Animation"
"Beauty and the Beast (1991)",3.88584905660377,1060,595,"Animation"
"Chicken Run (2000)",3.87960872836719,1329,3751,"Animation"
"Lion King, The (1994)",3.86083853702052,1121,364,"Animation"
